Type,Block,Street Name,Postal,Latitude,Longitude,Station Name
MRT,10,JURONG EAST STREET 12,609690,1.33315262,103.7422865,Jurong East
MRT,10,BUKIT BATOK CENTRAL,659958,1.349034109,103.7495668,Bukit Batok
MRT,802,BUKIT BATOK WEST AVENUE 5,659083,1.358611591,103.7517909,Bukit Gombak
MRT,10,CHOA CHU KANG AVENUE 4,689810,1.385363165,103.7443708,Choa Chu Kang
MRT,61,CHOA CHU KANG DRIVE,689715,1.397535018,103.7474051,Yew Tee
MRT,960,WOODLANDS ROAD,738702,1.425086981,103.7621375,Kranji
MRT,71,WOODLANDS AVENUE 3,739044,1.432521149,103.7740746,Marsiling
MRT,11,WOODLANDS SQUARE,737736,1.436066982,103.7879308,Woodlands
MRT,70,WOODLANDS AVENUE 7,738344,1.440585001,103.800988,Admiralty
MRT,11,CANBERRA ROAD,759775,1.449050822,103.8200461,Sembawang
MRT,301,YISHUN AVENUE 2,769093,1.42944308,103.835005,Yishun
MRT,201,YISHUN AVENUE 2,769092,1.41738337,103.8329799,Khatib
MRT,3000,ANG MO KIO AVENUE 8,569813,1.381755887,103.8449473,Yio Chu Kang
MRT,2450,ANG MO KIO AVENUE 8,569811,1.369933175,103.8495581,Ang Mo Kio
MRT,200,BISHAN ROAD,579827,1.350838988,103.848144,Bishan
MRT,377,LORONG 1 TOA PAYOH,319756,1.340469001,103.8467991,Braddell
MRT,510,LORONG 6 TOA PAYOH,319398,1.332628988,103.8475018,Toa Payoh
MRT,250,THOMSON ROAD,307642,1.320440791,103.8438256,Novena
MRT,49,SCOTTS ROAD,228234,1.312320099,103.8379853,Newton
MRT,437,ORCHARD ROAD,238878,1.303979874,103.8322453,Orchard
MRT,1,SOMERSET ROAD,238162,1.300264167,103.8390858,Somerset
MRT,11,ORCHARD ROAD,238826,1.298701306,103.8461152,Dhoby Ghaut
MRT,150,NORTH BRIDGE ROAD,179100,1.292936242,103.8525859,City Hall
MRT,5,RAFFLES PLACE,48618,1.28412561,103.8514617,Raffles Place
MRT,21,PARK STREET,18925,1.276427354,103.8545978,Marina Bay
MRT,33,MARINA COASTAL DRIVE,18948,1.271027036,103.8624475,Marina South Pier
MRT,10,PASIR RIS CENTRAL,519634,1.373043212,103.9492846,Pasir Ris
MRT,20,TAMPINES CENTRAL 1,529538,1.353301533,103.9451447,Tampines
MRT,30,SIMEI STREET 3,529888,1.343202895,103.9533717,Simei
MRT,920,NEW UPPER CHANGI ROAD,467356,1.32718775,103.9463481,Tanah Merah
MRT,315,NEW UPPER CHANGI ROAD,467347,1.323979969,103.9299845,Bedok
MRT,55,SIMS AVENUE EAST,416551,1.321038249,103.9129494,Kembangan
MRT,30,EUNOS CRESCENT,409423,1.319783548,103.9032258,Eunos
MRT,30,PAYA LEBAR ROAD,409006,1.318112082,103.8930604,Paya Lebar
MRT,81,LORONG 25 GEYLANG,388310,1.316432612,103.882906,Aljunied
MRT,5,SIMS AVENUE,387405,1.31148891,103.8713865,Kallang
MRT,50,KALLANG ROAD,208699,1.307377508,103.8627676,Lavender
MRT,220,VICTORIA STREET,188022,1.300465076,103.8557064,Bugis
MRT,150,NORTH BRIDGE ROAD,179100,1.292936242,103.8525859,City Hall
MRT,5,RAFFLES PLACE,48618,1.28412561,103.8514617,Raffles Place
